text,label,target,language,rationale
പുരുഷൻ മാർ ഇങ്ങനെ പുരുഷൻ മാരെ തന്നെ കല്യാണം കഴിച്ചാൽ നമ്മുടെ കേരളത്തിലെ സ്ത്രീകളെ ആരു കല്യാണം കഴിക്കും അതുകൊണ്ട് സഹോദരിമാരെ നിങ്ങൾ ആരും ഈ തോന്നിവാസത്തിനു സപ്പോർട്ട് ചെയ്യരുതേ കാരണം ഇത് ഒരു തരം പ്രാന്ത് ആണ് സൈക്യാട്രിസ്റ്റിനെ കണ്ടു ചികിത്സയാണ് ഇതിനു വേണ്ടത്,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it promotes discrimination and prejudice against a specific gender (women). It suggests that women should not marry men who have certain characteristics, which is a form of gender bias and perpetuates harmful stereotypes. Such comments contribute to creating a hostile and divisive environment based on gender, which goes against principles of equality and respect for all individuals. It is important to promote inclusive and respectful dialogue that does not target or belittle any group based on their gender."
കൊറേ നായിന്റെ മക്കൾ ആണും പെണ്ണും കേട്ട ഇനം,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it contains derogatory language and dehumanizes individuals based on their gender. Referring to someone as a ""നായി"" (dog) is highly disrespectful and discriminatory. Using such language to describe individuals based on their gender is not only offensive but also promotes hate and discrimination. It is important to promote respectful and inclusive language towards all individuals regardless of their gender."
Eathraoke support chythalum prakrthi thrichadikkum,Homophobic/Transphobic,Transphobic-derogation,Manglish,"This comment is labeled as 'Transphobic' because it contains derogatory and offensive language towards a specific group of people. The use of such language promotes discrimination and intolerance, which goes against the principles of respect and kindness. It is important to communicate in a respectful and inclusive manner, rather than resorting to hateful language that can hurt and divide communities."
സെക്സിൽ മാറ്റം ആഗ്രഹിക്കുന്നത് കൊണ്ട് തന്നെ ആണ് ഇത്തരം ബന്ധങ്ങൾ ഗേ എന്നാ ഓമനപ്പേരിട്ട് വിളിച്ചു മനുഷ്യൻ കൊണ്ട് നടക്കുന്നത് നാണമില്ലാത്തവന്റെ മൂട്ടിൽ ആലു കിളിർത്താൽ അതും ഒരു തണൽ അല്ലാതെ എന്താ ഹിന്ദു ഐതിഹ്യത്തിൽ പറയുന്ന പോലെ കലികാലം,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and disrespectful language towards individuals who have different sexual preferences. It promotes discrimination and intolerance towards those who do not conform to traditional societal norms regarding relationships and sexuality. Such language contributes to a negative and harmful environment for individuals who may already face prejudice and discrimination based on their sexual orientation. It is important to promote understanding, acceptance, and respect for all individuals regardless of their sexual orientation."
എന്ത് മലരുകളാണിത്ഇതിലും ഭേദം ചാകുനല്ലത് പടച്ചോൻ തന്ന ജീവിതം ഇങ്ങനെ കോമാളിത്തം കാണിച്ചു കോമാളികളായി ജീവിച്ചു തീർക്കേണ്ടി വന്നല്ലോ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory and discriminatory language towards a specific group of people based on their gender. The comment implies that individuals who do not conform to traditional gender roles are somehow inferior or wrong. Such language promotes intolerance, discrimination, and disrespect towards others. It is important to promote understanding, acceptance, and inclusivity towards all individuals, regardless of their gender identity."
കൊറേ കുണ്ടന്മാര് അവന്മാരെ സപ്പോർട്ട് ചെയ്യാൻ വേറെ കൊറേ പുരോഗമന മൈരന്മാരും,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and targets a specific group of people based on their gender and sexual orientation. Using terms like ""കുണ്ടന്മാര്"" and ""മൈരന്മാരും"" in a negative context is discriminatory and promotes hate towards individuals who identify with those groups. Such language contributes to a hostile and intolerant environment, which goes against promoting respect and understanding among all individuals regardless of their differences."
കുണ്ടന്മാർ കുരു പൊട്ടിക്കുന്നു,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and is aimed at insulting a specific group of people based on their identity. The use of offensive language and derogatory terms towards a particular group is indicative of hate speech, which can contribute to discrimination, prejudice, and harm towards individuals belonging to that group. It is important to promote respectful and inclusive language in order to foster a more positive and accepting online community."
ഇവർക്കും ഗേ ആളുകൾക്ക് തുല്യത ഉറപ്പാക്കിയ സുപ്രീം കോടതിയ്ക്കും മെഡിക്കൽ സയൻസിനും ഗവണ്മെന്റിനും ഒക്കെ വട്ടു,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language towards a specific group of people (ഗേ ആളുകൾ). The use of such language to demean or belittle a particular group is considered hateful and discriminatory. It is important to promote respectful and inclusive communication, and comments like these contribute to spreading negativity and division."
Kundanmar samuhathin naasham,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains language that promotes harm or destruction towards a specific group of people. The phrase ""Kundanmar samuhathin naasham"" translates to ""destruction of the upper caste community"" in English. Advocating for the destruction of a particular community based on their caste is discriminatory, prejudiced, and incites violence. It spreads hatred and divisiveness among different groups of people, which goes against the principles of respect, tolerance, and equality."
എനിക്ക് ട്രാൻസ്‍ജൻഡർ ഫോബിയ ഉണ്ട്അവരെ കണ്ടാൽ ഓടും ഞാൻകാരണം അറിയില്ല ബോംബയിൽ ട്രെയിൻ പോയവർക്ക് മനസ്സിലാവും,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it expresses a discriminatory and prejudiced attitude towards transgender individuals. The use of derogatory language and the statement implying a desire to run away upon seeing transgender individuals demonstrates a lack of respect and understanding towards this community. Such comments promote intolerance and contribute to a hostile environment for marginalized groups. It is important to promote acceptance and inclusivity towards all individuals, regardless of their gender identity."
പുരുഷ വേഷത്തിൽ ഇവരെ ആരും തിരിഞ്ഞു നോക്കില്ല അവരും വികാര ജീവികൾ അല്ലേ പാവങ്ങൾ,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it contains derogatory and discriminatory language towards a specific group of people based on their gender identity. Referring to individuals in a derogatory manner and making assumptions about their character based on their appearance or gender expression is not only disrespectful but also perpetuates harmful stereotypes and discrimination. It is important to promote respect and understanding towards all individuals, regardless of their gender identity."
മീശേം താടിയും വളർത്തിട്ട് കാര്യം ഇല്ലാ ആണുങ്ങളെ പോലെ ജീവിക്കാഡോ ആണുങ്ങളുടെ വില കളയാൻ ആയിട്ട് ഇറങ്ങിക്കോളും,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language towards a specific group of people based on their appearance. Making negative and demeaning remarks about someone's physical features is considered hateful and discriminatory. It is important to promote respectful and inclusive language towards all individuals, regardless of their appearance."
Pinne enikk ingane oru kunju janichaal avan angane aavathirikkan maximum sramikkum Islam enthennu avane padippikkum nan Ennittum avan anganeyayal avan marichu ennu nan karuthum Kazhiyumenkil konnu kalayukayum cheyyum avane ithu pole oru nikrishta janthuvaayi jeevikkan sammathikkilla,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory and discriminatory language towards a specific group of people based on their religious beliefs. The comment dehumanizes individuals who follow Islam, referring to them in a disrespectful and degrading manner. Such language promotes intolerance, prejudice, and hostility towards a particular religious community, which goes against the principles of respect, understanding, and inclusivity. It is important to promote constructive dialogue and mutual respect, rather than spreading hate and division based on religious differences."
സത്യം സിനിമ തീയേറ്ററിയിൽ പോലും സ്വസ്ഥത തരില്ല മൂത്രം ഒഴിക്കാൻ നിക്കുമ്പോൾ അടുത്ത് നിന്ന് മറ്റുള്ളവരുടെ അണ്ടിയിലേക്കും നോക്കി വെള്ളമിറക്കും നായ്ക്കൾ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and promotes harmful and disrespectful behavior towards others. The comment suggests engaging in inappropriate and invasive actions towards individuals, which is not only inappropriate but also promotes a negative and hostile attitude towards others. Such language and behavior can contribute to creating a toxic and harmful online environment. It is important to promote respectful and constructive communication online to foster a positive and inclusive community."
ഞാനൊരു ദിവസം കോഴിക്കോട് വന്നപ്പോൾ പെട്ട് പോയതാ കുണ്ടന്മാരുടെ ഇടയിൽ നാറികൾ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language targeting a specific group of people (in this case, individuals from Kozhikode). The use of offensive language and the negative connotation towards a particular group based on their regional identity is considered hateful and discriminatory. It promotes division and prejudice rather than fostering understanding and respect among different communities. It is important to promote kindness and empathy in our interactions with others, rather than spreading hate and negativity."
എല്ലാ കുണ്ടന്മാര്കും എന്റെ നടുവിരൽ നമസ്കാരം ഞങ്ങൾ ആണുങ്ങൾക്ക് പെണ്ണുങ്ങൾ ഉണ്ട്. നിങ്ങൾ കുണ്ടന്മാർ ആണാണ് എന്ന് പറഞ്ഞു നടക്കരുത് ആണുങ്ങൾ പെണ്ണുങ്ങളെ ആണ് ഇഷ്ടപ്പെടുന്നത്. കുണ്ടന്മാർ നാടിൻറെ ശാപം,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and promotes discrimination based on gender. It is disrespectful and offensive towards individuals based on their gender identity. Such language contributes to a negative and harmful environment, perpetuating stereotypes and prejudices. It is important to promote respect, equality, and inclusivity in all forms of communication."
kundanmaarku enthum aakalo,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language in Malayalam that translates to ""Is there anything worse than a fool."" The use of insulting language towards someone, referring to them as a fool, is considered hateful and disrespectful. It does not contribute to constructive dialogue or positive communication. It is important to communicate in a respectful and courteous manner, even when expressing disagreement or criticism."
ഇതൊക്കെ എന്താണ് ഒന്നുകിൽ ആണായി ജീവിക്കുക അല്ലേൽ പെണ്ണായി ജീവിക്കുക നിങ്ങളിൽ ഭൂരിപക്ഷം ഉള്ള അവയവം ഏത് വിഭാഗത്തിന്റെയാണോ നിങ്ങൾ അവരോടോപ്പോം നിൽക്കൂ നിങ്ങൾ സ്വയം ഒറ്റപ്പെടുകയാണ് എന്ന് നിങ്ങൾ മനസ്സിലാക്കൂ,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it promotes discrimination based on gender. It suggests that individuals should live their lives as either male or female based on their physical characteristics, and implies that those who do not conform to traditional gender norms should be looked down upon. Such attitudes contribute to marginalization and harm towards individuals who do not fit into rigid gender categories. It is important to promote acceptance and respect for all individuals regardless of their gender identity."
ഇന്ന് ആണ്കുട്ടികളും സുരക്ഷിതർ ഒന്നും അല്ലെടോ,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it is making a derogatory statement about a specific group of people based on their gender. Referring to a group of individuals as ""ആണ്കുട്ടികൾ"" (boys) and implying that they are not safe can be seen as discriminatory and perpetuating harmful stereotypes. It is important to promote inclusivity and respect towards all individuals, regardless of their gender."
അയ്യയ്യേ രണ്ടാണുങ്ങൾ കെട്ടിപ്പിടിക്കുന്നു ഉമ്മ കൊടുക്കുന്നു ലവ് യൂ പറയുന്നു ഒന്നിച്ചു ജീവിക്കുന്നു സന്തോഷിക്കുന്നു മനസമാധാനം കിട്ടുന്നു ഗ്വാ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and seems to be mocking or belittling someone. The use of phrases like ""കെട്ടിപ്പിടിക്കുന്നു"" and ""ലവ് യൂ പറയുന്നു"" suggest a negative and disrespectful attitude towards the individuals being referred to. Additionally, the tone of the comment appears to be sarcastic and dismissive, which can be hurtful and offensive. Hate speech, in any form, is not conducive to constructive dialogue and should be avoided."
ആ പ്രകൃതി മാറ്റിമറിക്കാന്‍ മനുഷ്യന് അവകാശമില്ല മൃഗങ്ങള്‍ പോലും ഈ പ്രകൃതിനിയമത്തെ അനുസരിച്ചാണ് ജീവിക്കുന്നത് കാമപൂർത്തീകരണത്തിന്എന്ത്മാര്‍ഗവും സ്വീകരീക്കാം എന്ന വൃത്തികെട്ട ആശയം വച്ചുപുലര്‍ത്തുന്നവരാണിവര്‍. മനുഷ്യവര്‍ഗത്തിന് തന്നെ നാണക്കേടും ഭീഷണിയുമാണിവര്‍. നീയൊക്കെ ഇന്ത്യാരാജ്യത്ത് ജനിച്ചതു നിന്റെയൊക്കെ ഭാഗ്യംഇവിടെയിപ്പോള്‍ എന്ത് വൃത്തികേടുകള്‍ക്കും നിയമത്തിന്റെ സപ്പോര്‍ട്ടുണ്ടല്ലോ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains discriminatory language towards a specific group of people based on their beliefs and practices. It promotes the idea that certain individuals are superior to others based on their birthplace and implies that those who do not conform to a specific ideology are inferior. This type of language can incite division, prejudice, and hatred towards individuals who do not fit into the narrow definition of what is deemed acceptable. It is important to promote inclusivity, diversity, and respect for all individuals, regardless of their backgrounds or beliefs."
ഈ ഷിഗണ്ടി വർഗം എന്താണ് രാത്രി ചെയ്യുന്നത് എന്ന് നിങ്ങൾക്ക് ഞാൻ പറഞ്ഞു തരാണോ ബായി,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it contains derogatory language and is disrespectful towards a certain group of people. The use of words like ""ഷിഗണ്ടി"" and ""ബായി"" is offensive and shows a clear intent to insult or demean individuals belonging to a particular category. Such language promotes negativity and division among people, which goes against the principles of respect and inclusivity. It is important to communicate in a respectful and constructive manner, even when expressing disagreement or criticism."
നിനക്കൊന്നും നാണമില്ലേ ആണുങ്ങളുടെ കുണ്ണ മൂഞ്ചൻ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,This comment is labeled as 'Homophobic' because it contains derogatory and disrespectful language towards a specific group of people based on their physical attributes. The use of such language is not only offensive but also promotes discrimination and intolerance. It is important to promote respectful and inclusive language in all forms of communication to create a more positive and accepting environment for everyone.
ഇത്‌ അംഗീകരിക്കാന്‍ പറ്റില്ല ഇത്‌ വളരെ വൃത്തികെട്ട ഒരു സംസ്കാരമാണ്‌,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains negative and derogatory language towards a particular culture or community. The use of words like ""വൃത്തികെട്ട"" (uncivilized) and ""സംസ്കാരമാണ്‌"" (culture) in a dismissive and disrespectful manner shows a lack of understanding and empathy towards the culture being discussed. Such language can incite division, spread stereotypes, and promote discrimination, which goes against promoting mutual respect and understanding among different cultures."
വന്നു വന്നു ഇനി കേരളത്തിൽ ആണുങ്ങളെ പീഡിപ്പിക്കുന്ന കാലം വരും ദൈവമേ എന്റെ കുണ്ടിയെ കാത്തോളണെ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains language that incites violence and harm towards a specific group of people based on their gender. The use of derogatory language and the expression of a desire for harm to come to a particular group is not conducive to respectful and constructive dialogue. It is important to promote understanding and empathy towards others, rather than promoting hate and violence."
എന്തോന്നിത് ഭാര്യയും മക്കളും ഉള്ള നാറികൾ ഇങ്ങനെ വേഷം കെട്ടി നടക്കുന്നവരെ പ്രേമിക്കുന്നു കുറെ പേര് ഭാര്യയും മക്കളും ആയതിനു ശേഷവും പെണ്ണായി നടക്കുന്നു പുരുഷനായി ജനിച്ചതിനു ശേഷവും സ്ത്രൈണത ഉണ്ടാവുന്നെങ്കിൽ പുരുഷ ഹോർമോൺ കുത്തിവെച്ചു പൂർണതയുള്ള ഒരു പുരുഷനായിക്കൂടെ,Homophobic/Transphobic,Transphobic-derogation,Malayalam,This comment is labeled as 'Transphobic' because it promotes gender stereotypes and discrimination. It suggests that individuals who do not conform to traditional gender roles should be rejected or ostracized. This kind of language perpetuates harmful beliefs about gender and can contribute to a culture of intolerance and prejudice. It is important to promote respect and acceptance for individuals regardless of their gender identity or expression.
നാളത്തെ തല മുറ സ്വന്തം രക്ത ബന്ധത്തിൽ ഉളളവർ അമ്മ മോൻ അച്ഛൻ മോൾ സഹോദരി സഹോദരൻ അയി ബന്ധത്തിൽ ഏർപ്പെടും അത് അവരുടെ ഇഷ്ടം ആണെന്ന് പറഞ്ഞ് സപ്പോർട്ട് ചെയ്യാനും ഇതുപോലെ കുറേയെണ്ണം കാണും കഷ്ടം,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it promotes discrimination and division based on familial relationships and blood ties. It suggests that individuals should only support and care for those who are related to them by blood, which can lead to exclusion and prejudice against those who are not part of one's family. This type of mindset fosters negative attitudes towards others and goes against the principles of inclusivity and acceptance. It is important to promote love and support for all individuals, regardless of their familial relationships."
Innathe kaaalath athonnum nokilla kundan adikkandavarkk kundan adikkaaam Athokke avarude mind,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains aggressive and violent language towards a specific group of people. The use of phrases like ""adikkandavarkk kundan adikkaaam"" (we will beat those who beat us) incites violence and promotes a harmful and hostile attitude towards others. Such language can contribute to a negative and divisive atmosphere, fostering animosity and conflict instead of promoting understanding and empathy. It is important to engage in respectful and constructive dialogue, even when expressing disagreement or frustration, in order to promote a more positive and inclusive environment."
ഇവറ്റകൾ മഹാ വൃത്തികെട്ട ജന്മങ്ങൾ ആണ് സമൂഹത്തെ നശിപ്പിക്കും,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and expresses a negative and harmful sentiment towards a specific group of people. The use of words like ""വൃത്തികെട്ട"" and ""നശിപ്പിക്കും"" conveys a message of disdain and a desire to harm or destroy individuals based on their perceived characteristics. Such language promotes division, discrimination, and hostility towards others, which goes against the principles of respect, understanding, and acceptance in a diverse society."
ആണ് പെണ്ണിനെ പിടിക്കുന്ന പോലെ ആണോ ആണ് ആണിനെ പിടിക്കുന്നത്,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains language that suggests violence or aggression towards a specific gender. The use of phrases like ""പെണ്ണിനെ പിടിക്കുന്ന"" and ""ആണിനെ പിടിക്കുന്നത്"" implies a harmful intent towards individuals based on their gender. Such language promotes discrimination, intolerance, and hostility towards a particular group, which is not acceptable. It is important to promote respectful and inclusive language that does not incite hate or violence towards any individual or group."
What freedom gay marriage is not legal. We should not encourage. Pand Ulla allkarkum ingane prashnam oke undayirinu but avar Athu adjust cheyth kudumba life kond poyernu. Ipo mindiyaa gay marriage. Ivark angane kutti undava. Ithode koodi ivarde thalamura ivade avasanikyum. Elavarum ingane thudangiya dinosaur oke poya pole manushan um ee boomi IL nin poyikollum,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains discriminatory and derogatory language towards individuals who are part of the LGBTQ+ community. The comment expresses a negative and intolerant attitude towards gay marriage, using offensive language to describe individuals who are gay. It promotes discrimination and prejudice based on sexual orientation, which goes against principles of equality and respect for all individuals. Such language contributes to a hostile and unwelcoming environment for LGBTQ+ individuals, and it is important to promote understanding and acceptance instead of spreading hate and intolerance."
ട്രെയിനിലും ബസിലും ഒക്കെ വന്നു വെറുപ്പിക്കുന്നത് കൊണ്ടാണ് ഇവരെ ഭൂരിഭാഗം ആളുകളും ഇഷ്ടപ്പെടാത്തത്,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it contains discriminatory language towards a certain group of people. The comment implies that individuals who come in trains and buses are causing trouble and are disliked by many people. This generalization and negative portrayal of a specific group based on their mode of transportation is unfair and promotes prejudice and discrimination. It is important to promote understanding and respect towards all individuals, regardless of how they choose to travel."
കൂടുതൽ ഡെഡിക്കേഷൻ ഒന്നും വേണ്ടാ കുണ്ടൻസ് അത് മതി,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains language that appears to be derogatory or disrespectful towards a specific group of people. The use of words such as ""കുണ്ടൻസ്"" can be interpreted as offensive or discriminatory towards individuals belonging to a certain community or background. Such language promotes negativity and division rather than fostering understanding and respect. It is important to communicate in a respectful and inclusive manner, avoiding language that can be perceived as hateful or hurtful towards others."
Kundanmaarude kaaryam paranjappol ninakkenthaa ithra chorichil,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and is meant to belittle or insult the person being addressed. The use of the word ""chorichil"" implies a negative and disrespectful tone towards the individual. Such language contributes to a hostile and confrontational atmosphere rather than fostering constructive dialogue or discussion. It is important to communicate respectfully and constructively, even when expressing disagreement or criticism."
കൊല്ലുക ഇത് പോലെ കുറെ തായോളികൾ ഉണ്ട് സമൂഹത്തിൽ കയ്യിൽ കിട്ടിയ ഒരു ദാക്ഷണ്യവും കാണികണ്ട അടിച്ച് ചെവിക്കല്ല് പൊട്ടിച്ചോണം ആണും പെണ്ണും കെട്ട ശവങ്ങൾ,Homophobic/Transphobic,Homophobic-Threatening,Malayalam,"This comment is labeled as 'Homophobic' because it contains violent and derogatory language towards a specific group of people based on their gender. The comment promotes harmful and discriminatory attitudes towards women, advocating for violence against them. Such language perpetuates harmful stereotypes and contributes to a hostile and unsafe environment for individuals. It is important to promote respectful and inclusive language towards all individuals, regardless of their gender."
Swavargha rathi maanyamaya reethi aano,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language directed towards a specific group of people. The use of such language can incite hatred, discrimination, and prejudice towards individuals who may identify with or belong to the group being targeted. It is important to promote respectful and inclusive communication to foster a safe and welcoming environment for all individuals, regardless of their backgrounds or beliefs."
പ്രകൃതിയുടെ നിയമം മാത്രം നിലനില്‍ക്കുന്ന കാലത്താണ് സ്വവര്‍ഗ്ഗരതിയെന്ന മാരകപാപം സോദോമിലും ഗൊമോറായിലും വ്യാപകമായത് ദൈവദൂതന്മാരോടുപോലും ഈ മ്ലേച്ഛത പ്രവര്‍ത്തിക്കാന്‍ ഈ സമൂഹം തുനിഞ്ഞത് ഉല്‍പത്തിയുടെ പുസ്തകത്തിലെ പത്തൊന്‍പതാം അദ്ധ്യായത്തില്‍ വ്യക്തമായി കാണാൻ സാധിക്കും പ്രകൃതിവിരുദ്ധ പാപങ്ങളില്‍ മുഴുകിയ ജനതയ്ക്കുമേല്‍ ദൈവം‌ അയച്ച മഹാമാരിയും പിന്നീടുള്ള വചനങ്ങളില്‍ കാണുന്നു സോദോംഗൊമോറാ ദേശങ്ങളെ അഗ്നിയും ഗന്ധകവും ഇറക്കി വെണ്ണീറാക്കിയത്തിനുശേഷം നൂറ്റാണ്ടുകള്‍ കഴിഞ്ഞായിരുന്നു മോശയിലൂടെ അവിടുന്നു നിയമങ്ങള്‍ നല്‍കിയത് നിയമം ലിഖിതരൂപത്തില്‍ ലഭിക്കാതിരുന്ന നാളുകളില്‍ ദൈവത്തിന്റെ കോപം ഈ പാപത്തിനുമേല്‍ ജ്വലിച്ചുവെങ്കില്‍ എല്ലാ അറിവും ലഭിച്ചതിനുശേഷം ചെയ്തുകൂട്ടുന്ന മ്ലേച്ഛതകള്‍ക്കു ന്യായീകരണം ഇല്ലെന്നുമാത്രമല്ല ശിക്ഷ വൈകുകയുമില്ല ഭൂമിയുള്ളിടത്തോളംകാലം ഭൂവാസികള്‍ക്കെല്ലാം ദൃഷ്ടാന്തമാക്കി സോദോമിനെ നിലനിര്‍ത്തിയിരിക്കുന്നതും ഒരു താക്കീതായി കാണണം എന്നാൽ ദൈവം ഈ തലമുറക്ക് ഒരുക്കിയിട്ടുള്ള ശിക്ഷ സോദോമിനേക്കാൾ അതികഠിനമായിരിക്കും ഇത് ദൈവത്തിന്റെ പ്രവർത്തികൾ കണ്ണുകൾ കൊണ്ട് കാണേണ്ട സമയം,Homophobic/Transphobic,Homophobic-derogation,Malayalam,This comment is labeled as 'Homophobic' because it contains derogatory and discriminatory language towards a specific group of people based on their beliefs and practices. It promotes intolerance and incites hatred towards individuals who are associated with certain religious or cultural practices. Such language contributes to division and animosity rather than fostering understanding and respect among different communities. It is important to promote dialogue and empathy rather than spreading hate and prejudice.
ആണുങ്ങളുടെ വില കളയാൻ കുണ്ടൻ,Homophobic/Transphobic,Homophobic-derogation,Malayalam,"This comment is labeled as 'Homophobic' because it contains derogatory language and is aimed at demeaning a specific group of people based on their gender. The use of offensive language and derogatory terms contributes to a hostile and discriminatory environment, which goes against the principles of respect and inclusivity. It is important to promote constructive and respectful dialogue, rather than resorting to hateful language and stereotypes."
ലോകത്തു ഏത് ജീവിക്കും സസ്യത്തിനും വസ്തുക്കൾക്കും 2 വിഭാഗമേ ഉള്ളു അല്ലെങ്കിൽ രണ്ടു ഇണകളെ ഉള്ളു ട്രാൻസ് ജൻഡർ എന്ന ഒരു വിഭാഗം ഒരു അഭംഗി ആണ് ദൈവം സൃഷ്ടിച്ചപോലെ സ്ത്രീ അല്ലെങ്കിൽ പുരുഷൻ മനുഷ്യ കുലത്തിനും അതാണ് ഭംഗി,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it promotes discrimination and prejudice against transgender individuals by suggesting that they are a separate category or a defect created by God. It implies that being transgender is not natural or valid, which can contribute to stigma, marginalization, and harm towards transgender individuals. Such language perpetuates harmful stereotypes and goes against principles of inclusivity, respect, and acceptance for all individuals regardless of their gender identity."
സത്യം എനിക്ക് ഇവരെ ഇഷ്ടം അല്ല ഒന്നുകിൽ ആണായിട്ട് ജീവിക്കുക അല്ലെങ്കിൽ പെണ്ണായിട്ട് ഇത് എന്തുവാ,Homophobic/Transphobic,Transphobic-derogation,Malayalam,"This comment is labeled as 'Transphobic' because it expresses a negative and discriminatory attitude towards a specific group of people based on their gender. The comment implies that the person does not like individuals of a certain gender and suggests that they should either live as something else or as a woman. Such language promotes intolerance and disrespect towards individuals based on their gender identity, which is not acceptable. It is important to promote equality and respect for all individuals regardless of their gender."
കുണ്ടന്മാരെ കാണുന്നിടത് വെട്ടിക്കൊല്ലണം പന്നീന്റെ മക്കൾ,Homophobic/Transphobic,Homophobic-Threatening,Malayalam,"This comment is labeled as 'Homophobic' because it contains violent and threatening language towards a specific group of people based on their sexual orientation. Advocating for harm or violence towards individuals solely based on their sexual orientation is discriminatory and promotes hatred. Such language can contribute to a hostile and unsafe environment for the targeted group. It is important to promote respectful and inclusive language towards all individuals, regardless of their sexual orientation."
Ee mairanmarraaa pole ellavarrkum thonniyirunenghil bhoomiyil arrum jenikulaayirrunu Natural aaya relationship God manusyaanu thalamurrakala bhoomil jeenipikan thanna anugrahamaathu enghanaa nashipichu kalanjittu mattulaavarku moshamaaya moral kanichu kodukunathu vazhi evarru Ee lokhaathoddu kanikunathu sherriyalaa 100percent wrong relationship,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and expresses a strong negative sentiment towards a group of people based on their race or ethnicity. The comment implies that certain individuals are inferior or morally wrong based on their genetic makeup, which is discriminatory and hateful. Such language promotes division and intolerance, and goes against the principles of respect and equality for all individuals."
Eda kundanoli vaaname ithokke abinayam allla Ivanmarokke main kundan mar aayath kond originality feel cheyth athreyullu Ejjathi oombiya padam thufff,Homophobic/Transphobic,Homophobic-derogation,Manglish,"This comment is labeled as 'Homophobic' because it contains derogatory language and expresses disdain towards a particular group of people. The comment uses offensive language to criticize the actors and implies that they lack originality and talent based on their background or caste. Such language and sentiments promote division and discrimination, and do not contribute constructively to any discussion. It is important to promote respectful and inclusive dialogue, and comments like these only serve to spread negativity and hatred."
