H/T,Category,CS
ലോകത്തു ഏത് ജീവിക്കും സസ്യത്തിനും വസ്തുക്കൾക്കും 2 വിഭാഗമേ ഉള്ളു അല്ലെങ്കിൽ രണ്ടു ഇണകളെ ഉള്ളു ട്രാൻസ് ജൻഡർ എന്ന ഒരു വിഭാഗം ഒരു അഭംഗി ആണ് ദൈവം സൃഷ്ടിച്ചപോലെ സ്ത്രീ അല്ലെങ്കിൽ പുരുഷൻ മനുഷ്യ കുലത്തിനും അതാണ് ഭംഗി ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. ithine kurichu namukku serious aayi chinthikkam.
Kundanmar samuhathin naasham ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്."
കൊല്ലുക ഇത് പോലെ കുറെ തായോളികൾ ഉണ്ട് സമൂഹത്തിൽ കയ്യിൽ കിട്ടിയ ഒരു ദാക്ഷണ്യവും കാണികണ്ട അടിച്ച് ചെവിക്കല്ല് പൊട്ടിച്ചോണം ആണും പെണ്ണും കെട്ട ശവങ്ങൾ ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. ithaanu oru responsible approach.
ഇത് പോലെ കുറെ തായോളികൾ ഉണ്ട് സമൂഹത്തിൽ കയ്യിൽ കിട്ടിയ ഒരു ദാക്ഷണ്യവും കാണികണ്ട അടിച്ച് ചെവിക്കല്ല് പൊട്ടിച്ചോണം ആണും പെണ്ണും കെട്ട ശവങ്ങൾ നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
കളിയാക്കുക തന്നെ വേണം ഇതിനോട് നിനക്ക് പറ്റും ഞങ്ങൾക്ക് യോജിപ്പ് ഇല്ല അണ്ണാച്ചി തള്ളേ ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithaanu oru responsible approach."
Mumbail poyal ivarude thani niram kaanam. Paisa chodhichal koduthillel adikkukayum theri parayukayum cheyyum athukondu thanneya veruppu ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. ithine kurichu namukku serious aayi chinthikkam.
നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ."
നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
സ്വവർഗരതി തെറ്റ് ആണെന്ന് ഭൂരിപക്ഷം ആൾക്കാരും വിശ്വസിക്കണത് അവരുടെ വേദ പുസ്തകങ്ങളിൽ അത് തെറ്റ് ആണെന്ന് പറഞ്ഞത് കൊണ്ടാണ് അതിൽ എന്താണ് തെറ്റ് നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
Enna ninte thanthaye naale kundan adikku kunda ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
Eathraoke support chythalum prakrthi thrichadikkum നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്."
നാളത്തെ തല മുറ സ്വന്തം രക്ത ബന്ധത്തിൽ ഉളളവർ അമ്മ മോൻ അച്ഛൻ മോൾ സഹോദരി സഹോദരൻ അയി ബന്ധത്തിൽ ഏർപ്പെടും അത് അവരുടെ ഇഷ്ടം ആണെന്ന് പറഞ്ഞ് സപ്പോർട്ട് ചെയ്യാനും ഇതുപോലെ കുറേയെണ്ണം കാണും കഷ്ടം ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
"Eniku agane oru Kutty undayal chikilsa undegil athu cheyyum Counseling kodutho eganeyegilum maatti edukkan sremikkum Athinu otta karaname ulloo njan oru daiva viswasiyanu Athu kondu jedika asakthikale support cheyyilla
 ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.",Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. ithaanu oru responsible approach.
Chathoodeda aanum pennum ketta Polayadi makkale ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
സ്വവർഗരതി തെറ്റ് ആണെന്ന് ഭൂരിപക്ഷം ആൾക്കാരും വിശ്വസിക്കണത് അവരുടെ വേദ പുസ്തകങ്ങളിൽ അത് തെറ്റ് ആണെന്ന് പറഞ്ഞത് കൊണ്ടാണ് അതിൽ എന്താണ് തെറ്റ് ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
ee coment itta neeyum kudan aanu kundan mare paranapo ninak vedhanicho kundan shaga sangikal ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്."
kundanmaarku enthum aakalo ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
kundanmaarku enthum aakalo ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithaanu oru responsible approach."
നിനക്കൊക്കെ ചത്തൂടെ മൈരേ ആണിനെ വ്യഭിചരിക്കുന്ന ആണുങ്ങൾ അയ്യേ നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്."
Engne ഒരു muzhuvan sthree muzhuvan purushan enna ganathile peduthaan pattum Sthreek reproduce cheyyunnath pole ivarkk cheyyan pattum0 Innathe technology karanam kuttikal ayekkam Ithonnum illayiriunnenkil engne jeevikkum Chilar bisexual aanenn avakaashapedunnu apol nammal engne avre sthreeyute koottathil allenkil purushakoottathil peduthum Ithonnum praayogikamlla Ithonnum prakruthikku inangunna karyangal alla Ipol nammuk sahathapam thonnaam Nale nammude kuttikale ivar ethra influence cheyyumennu kandariyaam ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithine kurichu namukku serious aayi chinthikkam."
ഒരു കൗൺസലിങ് അങ്ങ് കൊടുക്കും ഇവര് ട്രാൻസ്ജെൻഡർസിനെ പോലെ അല്ലല്ലോ അവർക്ക് ശരീരത്തിൽ പല മാറ്റങ്ങളും സംഭവിക്കും അങ്ങനെ ഉണ്ടാകുന്നതാണ് എന്ന് പറയാം ഇത് എന്തൂട്ട് അഹങ്കാരം അല്ലാണ്ട് ആരും വല്യ ന്യായീകരിക്കാൻ വരേണ്ട ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. ithine kurichu namukku serious aayi chinthikkam.
Chathoodeda aanum pennum ketta Polayadi makkale ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. ithine kurichu namukku serious aayi chinthikkam.
സെക്സിൽ മാറ്റം ആഗ്രഹിക്കുന്നത് കൊണ്ട് തന്നെ ആണ് ഇത്തരം ബന്ധങ്ങൾ ഗേ എന്നാ ഓമനപ്പേരിട്ട് വിളിച്ചു മനുഷ്യൻ കൊണ്ട് നടക്കുന്നത് നാണമില്ലാത്തവന്റെ മൂട്ടിൽ ആലു കിളിർത്താൽ അതും ഒരു തണൽ അല്ലാതെ എന്താ ഹിന്ദു ഐതിഹ്യത്തിൽ പറയുന്ന പോലെ കലികാലം ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithaanu oru responsible approach."
Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. ithaanu oru responsible approach.
Engne ഒരു muzhuvan sthree muzhuvan purushan enna ganathile peduthaan pattum Sthreek reproduce cheyyunnath pole ivarkk cheyyan pattum0 Innathe technology karanam kuttikal ayekkam Ithonnum illayiriunnenkil engne jeevikkum Chilar bisexual aanenn avakaashapedunnu apol nammal engne avre sthreeyute koottathil allenkil purushakoottathil peduthum Ithonnum praayogikamlla Ithonnum prakruthikku inangunna karyangal alla Ipol nammuk sahathapam thonnaam Nale nammude kuttikale ivar ethra influence cheyyumennu kandariyaam ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithaanu oru responsible approach."
Enthoru pekolangal aaaan ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
എനിക്ക് ട്രാൻസ്‍ജൻഡർ ഫോബിയ ഉണ്ട്അവരെ കണ്ടാൽ ഓടും ഞാൻകാരണം അറിയില്ല ബോംബയിൽ ട്രെയിൻ പോയവർക്ക് മനസ്സിലാവും നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
Saree udutha purushanmaar ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
ഞാനൊരു ദിവസം കോഴിക്കോട് വന്നപ്പോൾ പെട്ട് പോയതാ കുണ്ടന്മാരുടെ ഇടയിൽ നാറികൾ ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
ഇത് ജന്മനാ ആയതല്ലല്ലോ ആകിയതല്ലേ ജനിച്ചപ്പോൾ ഒന്നെങ്കിൽ പെണ്ണോ ആണോ ആണല്ലോ ആണും പെണ്ണുമല്ലാതെ ഒരാളും ജനിച്ചിട്ടില്ല അങ്ങനെ ജനിച്ച ചരിത്രവുമില്ല എവിടെയും ഇവരിൽ തന്നെ പറയുന്നത് കേൾകാം ആണായിരുന്നു പിന്നീട് തന്റെ മനസ്സ് പെണ്ണിലേക്ക് ആകർഷിച്ചു അങ്ങനെ അങ്ങനെ വളർന്നു വളർന്നു അത് വലതുതായി അത് പെണ്ണിലേക്ക് പോയി അപ്പോൾ തെറ്റുകാർ ഇവരുടെ രക്ഷിതാക്കൾ ആണ് ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithine kurichu namukku serious aayi chinthikkam."
Kundanmaarude kaaryam paranjappol ninakkenthaa ithra chorichil ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. ithaanu oru responsible approach.
ഇവർക്കും ഗേ ആളുകൾക്ക് തുല്യത ഉറപ്പാക്കിയ സുപ്രീം കോടതിയ്ക്കും മെഡിക്കൽ സയൻസിനും ഗവണ്മെന്റിനും ഒക്കെ വട്ടു ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
സ്വവർഗരതി തെറ്റ് ആണെന്ന് ഭൂരിപക്ഷം ആൾക്കാരും വിശ്വസിക്കണത് അവരുടെ വേദ പുസ്തകങ്ങളിൽ അത് തെറ്റ് ആണെന്ന് പറഞ്ഞത് കൊണ്ടാണ് അതിൽ എന്താണ് തെറ്റ് ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
Kundanmar samuhathin naasham ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
ഈ കുണ്ടന്മാരെ കൊണ്ട് മര്യാദക്ക് ബസിൽ പോലും കയറാൻ പറ്റുന്നില്ല ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
കൊറേ നായിന്റെ മക്കൾ ആണും പെണ്ണും കേട്ട ഇനം നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
കുണ്ടന്മാർ കുരു പൊട്ടിക്കുന്നു ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
എല്ലാ കുണ്ടന്മാരുടെയും അണ്ടി അറുത്തെടുത്തു നാട് കടത്തു നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
ആണത്തം നഷ്ടപെട്ട ആണും പെണ്ണും കെട്ടവന്മാർ 2 ഉം ഇനി എത്ര എണ്ണം വരുന്നുണ്ടോ എന്തോ ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. ithaanu oru responsible approach.
ഇത് നമ്മുടെ സംസ്ക്കാരമല്ല അതുമല്ല എല്ലാ മതങ്ങളും ശക്തമായി എതിർക്കുന്ന ഒന്നാണ് സ്വവർഗ്ഗ രതി പിന്നെ ഒന്ന് ചോദിച്ചോട്ടെ നിങ്ങളുടെ വീട്ടിലെ ഒരു ആൺകുട്ടി ഇങ്ങനെ ചെയ്താൽ അംഗീകരിക്കുമോ ഒരിക്കലും ഇല്ല എന്ന് ഞാൻ തീർത്തുപറയാം കാരണം ഇത് കേരളത്തിലെ രണ്ടാമത്തെ ഗേ വിവാഹമാണ് രണ്ട് വിവാഹവും ഇവരുടെ കുടുംബം ശക്തമായി എതിർത്തതാണ് ഇവർ സ്വാന്തം വീട്ടിൽ നിന്നും പുറത്താണ് നിങ്ങളുടെ വീട്ടിലാണ് ഇങ്ങനെയെങ്കിലും എങ്ങനെ നിങ്ങൾ പുറത്തിറങ്ങി നടക്കും ആളുകൾ കളിയാക്കി ചിരിക്കില്ലേ ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
കൊറേ കുണ്ടന്മാര് അവന്മാരെ സപ്പോർട്ട് ചെയ്യാൻ വേറെ കൊറേ പുരോഗമന മൈരന്മാരും ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. ithine kurichu namukku serious aayi chinthikkam.
Saree udutha purushanmaar നമ്മുടെ മൂല്യങ്ങളെ തകർക്കുന്ന പ്രവൃത്തികളാണ് ഇവ.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
ഇന്ന് ആണ്കുട്ടികളും സുരക്ഷിതർ ഒന്നും അല്ലെടോ ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
Ee myranmare kollanam ഇത് സമൂഹത്തിന്റെ ശാന്തിയെ കെടുത്തുന്നു.,Homophobic-Derogation,ഒരു വ്യക്തിയെയും അവന്റെ ഇഷ്ടങ്ങൾ കൊണ്ടു കളിയാക്കുന്നത് ശരിയല്ല. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
എല്ലാ കുണ്ടന്മാരുടെയും അണ്ടി അറുത്തെടുത്തു നാട് കടത്തു ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,മനുഷ്യരെ മനസ്സിലാക്കാനും മാന്യമായി സമീപിക്കാനും നമ്മളെല്ലാവർക്കും ബാധ്യതയുണ്ട്. ithine kurichu namukku serious aayi chinthikkam.
നാളത്തെ തല മുറ സ്വന്തം രക്ത ബന്ധത്തിൽ ഉളളവർ അമ്മ മോൻ അച്ഛൻ മോൾ സഹോദരി സഹോദരൻ അയി ബന്ധത്തിൽ ഏർപ്പെടും അത് അവരുടെ ഇഷ്ടം ആണെന്ന് പറഞ്ഞ് സപ്പോർട്ട് ചെയ്യാനും ഇതുപോലെ കുറേയെണ്ണം കാണും കഷ്ടം ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്.
ഇന്നു നമുക്ക് മുന്നിൽ കാണുന്ന എല്ലാ മഹത് വെക്തിതങ്ങളും വിദ്യാഭാസമുള്ളവരും നല്ല കുടുംബത്തിൽ പിറന്നവരും ആരും ഒരു ആണിനെ കല്യാണം കഴിച്ചു കാണാൻ കഴിയില്ല പിന്നെ ഇപ്പോൾ തുലാമാസ കുമിൾ പോലെ നാണം ഇല്ലാത്ത ഒന്ന് രണ്ടെണ്ണം മറക്ക് പുറത്തു വന്നു ആഘോഷിക്കുന്നത് കാണുമ്പോൾ അവരെ കയ്യടിച്ചു ദയാപൂർവം അംഗീകരിക്കുന്നത് കാണുമ്പോൾ സാക്ഷര കേരളമേ നിന്നോട് ലജ്ജ തോന്നുന്നു ഇതൊരു വലിയ സാമൂഹിക പ്രശ്നമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. സ്നേഹമാണ് ഏറ്റവും പ്രധാനപ്പെട്ടത്."
Kundanmaarude kaaryam paranjappol ninakkenthaa ithra chorichil ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,അവരുമായി സഹവാസം നമുക്ക് നല്ലൊരു സമൂഹം സൃഷ്ടിക്കാനാണ് വഴി. അവരെ മാനിക്കുക എന്നത് നമ്മുടെ വലിയ ഘടകമാണ്.
Ee mairanmarraaa pole ellavarrkum thonniyirunenghil bhoomiyil arrum jenikulaayirrunu Natural aaya relationship God manusyaanu thalamurrakala bhoomil jeenipikan thanna anugrahamaathu enghanaa nashipichu kalanjittu mattulaavarku moshamaaya moral kanichu kodukunathu vazhi evarru Ee lokhaathoddu kanikunathu sherriyalaa 100percent wrong relationship ഇവരുടെ നിലപാടുകൾ വളരെ ദു:ഖകരമാണ്.,Homophobic-Derogation,"വ്യത്യസ്തതകൾ സമൂഹത്തിന്റെ സൗന്ദര്യമാണ്, അത് മാനിക്കപ്പെടണം. ithaanu oru responsible approach."
ആണ് പെണ്ണിനെ പിടിക്കുന്ന പോലെ ആണോ ആണ് ആണിനെ പിടിക്കുന്നത് ഇത് പോലെ നടക്കുന്നവരെ സഹിക്കാനാവില്ല.,Homophobic-Derogation,ഓരോ വ്യക്തിക്കും സ്വന്തം ജീവിതം എങ്ങനെ നയിക്കണമെന്ന് തീരുമാനിക്കാനുള്ള അവകാശം ഉണ്ട്. നമ്മുടെ സമൂഹം സഹവാസത്തിലൂടെ മാത്രമേ മുന്നോട്ട് പോവൂ.
